PERMNO,date,TICKER,VOL,RET,ALTPRC,RETX
50737,1986-11-28,BRK,1388,-0.034012,40.00000,-0.041916
50737,1986-12-31,BRK,8154,-0.175000,22.00000,-0.175000
50737,1987-01-30,BRK,6779,0.261364,27.75000,0.261364
50737,1987-02-27,BRK,6179,0.130631,31.37500,0.130631
50737,1987-03-31,BRK,8821,0.234741,38.50000,0.227092
50737,1987-04-30,BRK,5285,0.003247,38.62500,0.003247
50737,1987-05-29,BRK,4000,0.051780,40.62500,0.051780
50737,1987-06-30,BRK,4353,0.156677,46.75000,0.150769
50737,1987-07-31,BRK,10513,-0.160428,39.25000,-0.160428
50737,1987-08-31,BRK,10239,0.019108,40.00000,0.019108
50737,1987-09-30,BRK,30248,0.477875,58.87500,0.471875
50737,1987-10-30,BRK,27318,-0.235669,45.00000,-0.235669
50737,1987-11-30,BRK,28377,0.025000,46.12500,0.025000
50737,1987-12-31,BRK,16129,-0.005637,45.62500,-0.010840
50737,1988-01-29,BRK,8149,0.071233,48.87500,0.071233
50737,1988-02-29,BRK,19181,0.227621,60.00000,0.227621
50737,1988-03-31,BRK,,,,
83443,1996-04-30,,,,1160.00000,
83443,1996-05-31,BRK,1904,C,1020.00000,C
83443,1996-06-28,BRK,316,0.012745,1033.00000,0.012745
83443,1996-07-31,BRK,347,-0.006776,1026.00000,-0.006776
83443,1996-08-30,BRK,226,0.014620,1041.00000,0.014620
83443,1996-09-30,BRK,218,0.030740,1073.00000,0.030740
83443,1996-10-31,BRK,268,0.005592,1079.00000,0.005592
83443,1996-11-29,BRK,305,0.022243,1103.00000,0.022243
83443,1996-12-31,BRK,678,0.008160,1112.00000,0.008160
83443,1997-01-31,BRK,808,0.038669,1155.00000,0.038669
83443,1997-02-28,BRK,520,0.028571,1188.00000,0.028571
83443,1997-03-31,BRK,478,0.018519,1210.00000,0.018519
83443,1997-04-30,BRK,479,0.050413,1271.00000,0.050413
83443,1997-05-30,BRK,730,0.136900,1445.00000,0.136900
83443,1997-06-30,BRK,996,0.093426,1580.00000,0.093426
83443,1997-07-31,BRK,587,0.000633,1581.00000,0.000633
83443,1997-08-29,BRK,582,-0.119545,1392.00000,-0.119545
83443,1997-09-30,BRK,365,0.073994,1495.00000,0.073994
83443,1997-10-31,BRK,517,-0.017391,1469.00000,-0.017391
83443,1997-11-28,BRK,265,0.026549,1508.00000,0.026549
83443,1997-12-31,BRK,426,0.020557,1539.00000,0.020557
83443,1998-01-30,BRK,750,0.089669,1677.00000,0.089669
83443,1998-02-27,BRK,750,0.109123,1860.00000,0.109123
83443,1998-03-31,BRK,2107,0.206989,2245.00000,0.206989
